Player,Pos,Squad,Age,Min,,,,
Luka Krajnc,DF,Hannover 96,28.68219178,1496,28,219,0.6,28.6
Elija Krahn,MF,Hamburger SV,19.75342466,88,19,342,0.936986301,19.9369863
Julian Krahl,GK,Kaiserslautern,23.33972603,90,23,973,2.665753425,25.66575342
Dawid Kownacki,FW,Düsseldorf,26.2,2513,26,6.2,0.016986301,26.0169863
Tim Köther,MF,Heidenheim,22.25479452,6,22,479,1.312328767,23.31232877
Louis Köster,MF,Hansa Rostock,20.33150685,12,20,151,0.41369863,20.41369863
Julian Korb,MF,Holstein Kiel,31.18082192,670,31,082,0.224657534,31.22465753
Pascal Köpke,FW,Nürnberg,27.7260274,41,27,603,1.652054795,28.65205479
Ransford Königsdörffer,FW,Hamburger SV,21.69863014,1462,21,863,2.364383562,23.36438356
Marco Komenda,DF,Holstein Kiel,26.49589041,783,26,589,1.61369863,27.61369863
Markus Kolke,GK,Hansa Rostock,32.76986301,2970,32,986,2.701369863,34.70136986
Medin Kojić,MF,Paderborn 07,17.46027397,7,17,027,0.073972603,17.0739726
Derrick Köhn,MF,Hannover 96,24.30410959,2866,24,411,1.126027397,25.1260274
Christoph Kobald,DF,Karlsruher,25.76986301,1329,25,986,2.701369863,27.70136986
Lukas Klünter,DF,Arminia,27,1801,27,27,0.073972603,27.0739726
Fabian Klos,FW,Arminia,35.47945205,1584,35,945,2.589041096,37.5890411
René Klingenburg,MF,Kaiserslautern,29.40547945,1,29,548,1.501369863,30.50136986
Mateo Klimowicz,MF,Arminia,22.88767123,120,22,767,2.101369863,24.10136986
Philipp Klement,MF,Kaiserslautern,30.70958904,1546,30,959,2.62739726,32.62739726
Tim Kleindienst,FW,Heidenheim,27.73424658,2741,27,425,1.164383562,28.16438356
Kai Klefisch,MF,Paderborn 07,23.47671233,917,23,671,1.838356164,24.83835616
Felix Klaus,MF,Düsseldorf,30.69863014,2037,30,863,2.364383562,32.36438356
Carl Klaus,GK,Nürnberg,29.35616438,180,29,616,1.687671233,30.68767123
Christoph Klarer,DF,Düsseldorf,22.94794521,2544,22,795,2.178082192,24.17808219
Sebastian Klaas,MF,Paderborn 07,24.90410959,99,24,411,1.126027397,25.1260274
Sonny Kittel,FW,Hamburger SV,30.38356164,1958,30,356,0.975342466,30.97534247
Thorsten Kirschbaum,GK,Jahn R'burg,36.09863014,270,36,863,2.364383562,38.36438356
